CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Davis2001,244687,"6,119,067","4,244,713","24,438","7,111","5,631","381,403","720,311","436,708","283,603","246,190","450,962","243,505","42,249","1,028,414","186,552","841,862","426,102","286,684","46,321","93,097","283,310","16,378","266,932","154,738","36,982","117,757","230,348","1,874,354"
Davis2002,249676,"6,436,033","4,392,976","18,261","3,875","5,955","391,238","687,522","452,343","235,179","248,187","468,499","250,251","60,169","1,036,079","201,236","834,843","507,326","347,296","53,174","106,856","299,918","15,344","284,574","164,335","39,934","124,401","251,362","2,043,056"
Davis2003,255582,"6,871,022","4,741,148","12,944","6,313","7,135","473,884","775,916","482,325","293,591","250,784","490,676","259,958","78,902","1,107,460","219,940","887,519","521,466","347,649","52,832","120,985","331,429","16,942","314,487","165,902","41,826","124,076","258,378","2,129,874"
Davis2004,262189,"7,300,130","5,059,655","4,551","11,757","8,739","531,168","825,771","487,304","338,467","253,171","526,443","298,447","90,970","1,128,901","232,049","896,851","563,965","365,341","64,796","133,828","364,083","20,950","343,134","176,152","45,018","131,134","275,537","2,240,476"
Davis2005,269208,"7,970,086","5,620,923","6,650","17,549","8,589","613,082","961,304","528,661","432,642","265,053","564,268","315,544","105,550","1,309,670","245,695","1,063,975","612,437","401,306","58,058","153,073","385,834","24,524","361,310","187,489","44,675","142,814","267,904","2,349,163"
Davis2006,278800,"8,739,116","6,257,371","2,748","21,789","10,591","704,408","1,129,528","561,358","568,170","277,142","603,254","334,126","135,290","1,413,055","303,003","1,110,052","686,975","443,431","68,998","174,546","433,767","30,699","403,068","209,701","51,262","158,439","294,998","2,481,745"
Davis2007,288236,"9,299,039","6,747,638","12,294","17,923","9,538","791,302","1,279,951","647,422","632,530","282,468","639,873","316,835","146,912","1,538,205","310,171","1,228,033","748,667","486,542","69,116","193,009","455,293","38,875","416,418","218,581","54,985","163,597","289,794","2,551,401"
Davis2008,295801,"9,397,458","6,856,078","10,622","19,261","15,986","636,708","1,216,611","603,210","613,400","304,437","625,712","327,352","183,928","1,616,326","248,912","1,367,414","857,924","586,136","73,279","198,509","499,083","47,913","451,171","227,889","60,353","167,536","314,240","2,541,380"
Davis2009,301965,"9,204,740","6,578,200","11,855","19,042","16,502","498,316","1,137,162","542,819","594,343","280,071","584,598","304,187","193,773","1,547,728","218,935","1,328,793","888,842","618,217","72,363","198,263","546,721","57,996","488,724","234,651","67,042","167,609","314,752","2,626,540"
Davis2010,307919,"9,783,660","7,043,421","3,056","16,934","17,036","483,259","1,423,007","683,072","739,935","287,977","589,776","282,564","188,005","1,679,479","218,204","1,461,275","933,847","656,530","68,345","208,973","576,579","70,613","505,966","251,383","79,993","171,390","310,518","2,740,239"
